userid,ledger,date,amount,narration,ledger
63aa962f68dc4f69b0f23e5e,general,2023-01-20,77,Badam-30/- & Dabur Amla Oil-47,general
63aa962f68dc4f69b0f23e5e,home construction,2023-01-19,82,Modular Plate Sheet,home construction
63aa962f68dc4f69b0f23e5e,ration,2023-01-19,88,"Mirchi-30, Salt-28 , Biscuit-30",ration
63aa962f68dc4f69b0f23e5e,ration,2023-01-18,45,"Banda-20 , Dhaiya-5, Matar-20",ration
63aa962f68dc4f69b0f23e5e,ration,2023-01-17,251,"5kg Aata-175, Dhaniya-28, Biscuit-20, Car-10, Slate-18",ration
63aa962f68dc4f69b0f23e5e,other,2023-01-16,50,Hair Cut Saloon,other
63aa962f68dc4f69b0f23e5e,home construction,2023-01-16,1494,"Cement Dalmia 1 Bag-400, Pipe 3 Feet-200, Etc & To Plumber Mistri-860, Band From Electrician",home construction
63aa962f68dc4f69b0f23e5e,miscellaneous,2023-01-16,155,Airtel Mobile Recharge,miscellaneous
63aa962f68dc4f69b0f23e5e,snacks,2023-01-15,10,2 Biscuit For Netra,snacks
63aa962f68dc4f69b0f23e5e,home construction,2023-01-15,115,"4"" Tee-180 & Solution Gum-35",home construction
63aa962f68dc4f69b0f23e5e,home construction,2023-01-14,240,"4*3 Tee-180, 3"" Band-60",home construction
63aa962f68dc4f69b0f23e5e,ration,2023-01-14,35,Matar -25 & Tamatar-10,ration
63aa962f68dc4f69b0f23e5e,miscellaneous,2023-01-13,245,Ayush Huggies,miscellaneous
63aa962f68dc4f69b0f23e5e,home construction,2023-01-13,800,2 Bag Dalmia Cement,home construction
63aa962f68dc4f69b0f23e5e,general,2023-01-13,235,"Tilkut-125, Dal-30 , Bhura-15, Shampoo-5, Biscuit-30, Badam-30",general
63aa962f68dc4f69b0f23e5e,ration,2023-01-12,107,"1kg Milk, Ful-15, Matar-25, Mirch-10 ,dhaniya-5",ration
63aa962f68dc4f69b0f23e5e,snacks,2023-01-11,25,"Biscuit-20 , Lollipop-5",snacks
63aa962f68dc4f69b0f23e5e,ration,2023-01-10,65,Piyaz 1kg-20 & Lasoon 1kg-40,ration
63aa962f68dc4f69b0f23e5e,home construction,2023-01-10,70,Paint Rooler Brush,home construction
63aa962f68dc4f69b0f23e5e,snacks,2023-01-09,20,"Biscuit-10, Rusk-5, Coconut Oil-5",snacks
63aa962f68dc4f69b0f23e5e,general,2023-01-08,220,2kg Fish Jasar,general
